No,Precision,Recall,F-Measure,Safety,Mandatory,Optional,XORs,ORs,Requires,Excludes,NLeaf,NTop,FoC,Deep
1,0.018229166666666668,1.0,0.03580562659846547,0.8108974358974359,1,9,0,0,0,0,8,6,0.8181818181818182,3
2,0.013888888888888888,1.0,0.0273972602739726,0.7979497354497355,0,8,0,1,0,0,8,7,0.7272727272727273,3
3,0.028645833333333332,0.9166666666666666,0.05555555555555555,0.75,1,9,0,0,0,0,9,8,0.8181818181818182,3
4,0.033402922755741124,1.0,0.06464646464646465,0.7745302713987474,0,3,0,1,0,0,8,7,0.2727272727272727,3
5,0.01937984496124031,1.0,0.03802281368821293,0.8076109936575051,0,10,0,0,0,0,9,3,0.9090909090909091,3
6,0.028333333333333332,1.0,0.055105348460291734,0.7741025641025643,0,6,0,1,0,0,9,8,0.5454545454545454,3
7,0.03286384976525822,0.875,0.06334841628959276,0.7996870109546165,0,5,0,1,0,0,7,7,0.45454545454545453,3
8,0.022222222222222223,1.0,0.04347826086956522,0.7769230769230772,0,6,0,1,0,0,9,9,0.5454545454545454,3
9,0.025390625,1.0,0.049523809523809526,0.75,0,10,0,0,0,0,10,10,0.9090909090909091,2
10,2.5451768897938407E-4,0.3333333333333333,5.08646998982706E-4,0.8112068050206533,7,12,0,2,0,0,18,3,0.46153846153846156,8
11,4.91307634164777E-4,0.5909090909090909,9.817989577826445E-4,0.8467509994913409,6,8,0,5,0,0,21,3,0.3076923076923077,5
12,7.646195253241987E-5,0.29411764705882354,1.5288415967221636E-4,0.7773703804986635,6,12,0,2,0,0,19,10,0.46153846153846156,4
13,5.6205035971223025E-5,0.24528301886792453,1.1238431979390445E-4,0.7900360919318234,4,11,0,3,0,0,20,10,0.4230769230769231,4
14,4.960496410404416E-5,0.34375,9.919561375031563E-5,0.8186899773627292,4,11,0,3,0,0,21,8,0.4230769230769231,4
15,2.6185196916904235E-5,0.6739130434782609,5.2368359037469566E-5,0.8025961103990508,2,19,0,1,0,0,21,5,0.7307692307692307,4
16,3.846153846153846E-5,0.5208333333333334,7.691739686915429E-5,0.7991416377171217,2,17,0,2,0,0,20,7,0.6538461538461539,5
17,1.1033332924691372E-4,0.24324324324324326,2.2056661111655715E-4,0.7790765552865004,4,13,0,3,0,0,18,4,0.5,9
18,2.0340612807189483E-4,0.4888888888888889,4.0664306904614477E-4,0.8164082739391929,4,10,0,3,0,0,21,2,0.38461538461538464,5
